User,Text,Lang,CreatedAt,CurrentUserRetweetId,FavoriteCount,GeoLocation,Id,InReplyToStatusId,InReplyToUserId,Place,QuotedStatusId,RetweetCount,Source,SourceUrl,SourceValue
CNN,"I do have more than one tie;" Mike Pence jokes as his portrait unveiling reveals him wearing the same neckwear… https://t.co/sRVy0jfidN,en,Fri Aug 11 16:26:27 CDT 2017,-1,2,null,896120651458662400,-1,-1,null,-1,0,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
HuffPost,"Game of Thrones" star's story about his mailman totally delivers https://t.co/rClMETZssd https://t.co/vI3CaGAh7p,en,Fri Aug 11 16:26:04 CDT 2017,-1,2,null,896120556054913024,-1,-1,null,-1,0,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Tyrion Lannister,Unique problems require unique solutions. https://t.co/1xS83kvyhW,und,Fri Aug 11 16:24:57 CDT 2017,-1,5,null,896120276940759040,-1,-1,null,-1,1,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
Heidi Belleau,RT @ZoeSTodd: AirBnB is NOT a 'sharing' economy. It's a further land grab for the wealthy and is driving rents ups. https://t.co/RziObUU29R,en,Fri Aug 11 16:24:57 CDT 2017,-1,0,null,896120276622090240,-1,-1,null,-1,7,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
Mashable,Facebook quietly bought a startup that can manipulate videoshttps://t.co/Jax9qYfkqG,en,Fri Aug 11 16:24:03 CDT 2017,-1,11,null,896120051018850304,-1,-1,null,-1,7,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
CNN,Motorcyclist Matthew Murray is recovering after driving off a 250-foot cliff https://t.co/rLuVrzoZOk,en,Fri Aug 11 16:24:03 CDT 2017,-1,12,null,896120050553245696,-1,-1,null,-1,7,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The New Yorker,Feel strongly about a story in the magazine? Reach out to themail@newyorker.com and we might publish your letter. https://t.co/yFynUnrd6R,en,Fri Aug 11 16:24:02 CDT 2017,-1,11,null,896120046249951232,-1,-1,null,-1,2,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Heidi Belleau,RT @Michellelanious: here's a Sunni Muslim country; deciding that hey; transpeople are still people & should be treated as one. @twt_LGBT…,en,Fri Aug 11 16:23:57 CDT 2017,-1,0,null,896120022862405632,-1,-1,null,895853546393960448,118,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
Heidi Belleau,My kid had a lemonade stand today and the fire department showed up in the engine; which she thought was AMAZING,en,Fri Aug 11 16:18:36 CDT 2017,-1,3,null,896118679062040576,-1,-1,null,-1,0,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
The New York Times,North Korea’s military advances — and Trump’s volatile response — could complicate Japan’s alliance with the U.S. https://t.co/FWW0sXLruO,en,Fri Aug 11 16:17:02 CDT 2017,-1,85,null,896118282075361280,-1,-1,null,-1,69,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
CNN,Be careful with fidget spinners; government safety group warns https://t.co/Qfg9T13n1R https://t.co/GscJU5rcsM,en,Fri Aug 11 16:14:02 CDT 2017,-1,68,null,896117527524155392,-1,-1,null,-1,58,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Mashable,A quick tour through the best new emoji of 2018 https://t.co/SO4QiWrJL6 https://t.co/5faD0AQ9Ij,en,Fri Aug 11 16:12:13 CDT 2017,-1,8,null,896117070928125952,-1,-1,null,-1,9,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Best Buy,RT @SamGolbach: Pranking my roommate with the awesome @HP Sprocket from @BestBuy! Check out  https://t.co/c4v2fe2Isc and get printing! #ad…,en,Fri Aug 11 16:10:59 CDT 2017,-1,0,null,896116762470633472,-1,-1,null,-1,459,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
